"","lon","lat","ubc_mat","ubc_map","ubc_cmd","elevuse_m","ci_rng"
"4951",-122.16502,47.60558,10.8,965,346,18,1.641875
"4952",-122.25032,47.75212,10.8,995,324,5,0
"4953",-118.06511,48.60919,8.1,490,543,512,4.65
"4954",-118.11512,48.61783,8.4,504,537,513,3.75
"4955",-116.4992,45.56858,11.5,378,715,369,4.32007142857143
"4956",-116.4856,45.55641,10.7,415,651,520,2.59521875
"4957",-116.4948,45.56594,11.6,384,707,404,3.3649375
"4958",-116.4846,45.54973,10.2,443,601,630,2.56122222222222
"4959",-122.08801,42.5421,6.7,839,580,1326,3.73375
"4960",-116.4654,45.61923,11.9,376,729,362,4.264
"4961",-116.4464,45.62506,11,412,648,543,2.743375
"4962",-116.4633,45.62249,11.8,381,718,394,3.13666666666667
"4963",-116.4334,45.63136,9.8,465,530,787,5.46
"4964",-118.75184,48.66964,5.6,456,467,924,3.1217
"4965",-116.18189,48.69767,7,700,400,792,3.33855263157894
"4966",-118.11055,45.3343,8.3,456,602,914,3.07215909090909
"4967",-124.14854,40.88028,11.2,1022,272,0,2.39761111111111
"4968",-120.5767,48.21235,9.1,476,691,351,3.01196875
"4969",-120.5556,48.20683,9,436,677,465,3.0063
"4970",-122.82201,46.52275,10.4,1115,390,61,2.99189285714286
"4971",-116.75512,45.75343,10.9,387,679,378,3.57285714285714
"4972",-116.74641,45.74119,10.8,386,669,422,3.73894444444444
"4973",-116.75152,45.75056,10.9,386,674,396,3.3344
"4974",-116.74091,45.72579,10.5,389,656,488,6.06
"4975",-113.5605,44.63182,2.8,450,370,2164,2.44276923076923
"4976",-118.17446,45.8126,6.8,1043,324,1250,3.78705882352941
"4977",-118.16556,45.80416,6.5,1068,320,1295,3.39263157894737
"4978",-120.58766,47.25051,2.9,969,264,1905,1.674
"4979",-120.56866,47.23454,3.2,958,288,1783,3.06453125
"4980",-120.57746,47.20816,3.8,913,318,1661,2.32052631578947
"4981",-120.58526,47.19171,4.7,825,366,1463,2.79
"4982",-122.71862,42.19099,11.9,326,929,210,3.53925
"4983",-121.67083,44.1032,2.1,1444,286,2134,0
"4984",-122.79992,47.0404,10.2,1202,350,98,2.84804545454545
"4985",-121.95361,47.56561,10.5,1395,258,27,3.01729166666667
"4986",-114.54524,45.07743,1.1,805,209,2316,4.4819
"4987",-121.33055,45.68905,10.1,561,611,354,3.17644444444444
"4988",-123.7562,44.99873,8.2,3851,126,823,3.65463636363636
"4989",-120.58838,48.20097,8.6,497,661,366,2.41605769230769
"4990",-120.59308,48.19737,8.4,539,642,387,2.1374
"4991",-122.92146,44.05714,11.2,1201,457,198,2.28189583333333
"4992",-121.4741,45.13551,10.7,1,1102,88,2.51028
"4993",-123.33168,44.60768,10.4,1755,397,427,2.44664
"4994",-123.33238,44.60592,9.8,2653,266,1039,2.65963043478261
"4995",-123.2912,44.64,11,1453,446,226,1.88267647058824
"4996",-122.28572,47.61,11,941,344,32,3.61727272727273
"4997",-117.08619,44.01089,10.4,267,840,762,3.76728571428571
"4998",-122.08651,42.53089,7.1,782,597,1280,3.906
"4999",-121.0677,46.78414,5,1294,267,1669,3.74
"5000",-113.37029,44.76851,1.2,521,168,2774,4.76888888888889
"5001",-114.01022,45.14415,1.2,895,89,2774,2.2136724137931
"5002",-122.6112,47.02597,10.5,1062,333,86,2.66991304347826
"5003",-122.3441,44.4027,10.2,1841,340,546,1.7378
"5004",-113.35159,44.56016,3.2,362,445,2103,3.71915384615385
"5005",-122.22092,47.64103,11,972,336,31,2.9167
"5006",-123.06338,44.67017,11.3,1064,500,30,2.524
"5007",-123.05858,44.66503,11.3,1065,499,30,3.03995454545455
"5008",-123.04408,44.66635,11.3,1070,494,46,3.24245833333333
"5009",-122.92292,46.90817,10.3,1245,370,34,2.4204375
"5010",-113.96415,46.84938,5.4,684,299,1503,2.00166666666667
"5011",-114.21866,46.95128,6.9,384,557,1000,4.29713636363636
"5012",-114.09965,46.83112,7,355,580,1001,3.08466666666667
"5013",-118.3672,44.3193,4.8,858,387,1965,0
"5014",-121.8128,42.22767,7.2,387,698,1341,3.255
"5015",-123.56839,44.50593,9.5,3477,217,1158,2.08582432432432
"5016",-121.81649,46.73986,7,1830,189,792,2.49502777777778
"5017",-121.81749,46.73896,7,1829,190,792,2.17331578947368
"5018",-121.81669,46.73926,7,1830,189,792,2.35527777777778
"5019",-122.1266,46.75775,8.4,1942,188,427,2.53507142857143
"5020",-122.1263,46.75745,8.4,1943,188,427,2.55559090909091
"5021",-122.1258,46.75895,8.4,1938,187,427,2.72722222222222
"5022",-122.1764,44.50388,9,1879,326,594,1.67772857142857
"5023",-118.07975,45.39127,8.3,444,622,914,2.73393103448276
"5024",-117.83093,44.77803,7.5,308,679,1067,4.848
"5025",-117.18102,45.24545,0.5,1352,122,2682,5.54
"5026",-114.40894,45.30855,7.4,335,686,1036,2.90244444444444
"5027",-123.2748,47.50726,7.4,2617,142,894,2.24775
"5028",-122.59598,45.5081,11.6,1152,398,107,3.124
"5029",-122.20937,45.56926,11.2,1785,267,73,2.36454545454545
"5030",-118.35681,48.03888,9.2,358,658,440,2.79
"5031",-118.15132,48.66179,7.9,558,472,594,2.60475
"5032",-121.32421,48.37424,2.7,3393,18,1946,1.92027777777778
"5033",-121.44952,48.53776,9.7,1903,215,107,2.56545833333333
"5034",-121.44642,48.54006,9.6,1910,212,112,2.79911764705882
"5035",-121.44492,48.54344,9.5,1977,234,123,2.31652
"5036",-121.45192,48.54569,9.4,1947,239,132,2.26494
"5037",-121.45322,48.54423,9.4,1951,238,136,1.923375
"5038",-121.45462,48.53849,9.5,1964,234,131,2.3048
"5039",-121.44812,48.53918,9.5,1982,233,123,2.09672222222222
"5040",-121.44812,48.54319,9.5,1967,235,124,2.4087
"5041",-121.25791,43.68958,3.4,757,386,2396,0
"5042",-113.85832,45.41061,2.6,915,185,2549,3.47878125
"5043",-118.00242,48.79099,8.3,528,512,411,3.25764705882353
"5044",-122.9221,47.47629,10.8,1733,310,97,3.10707142857143
"5045",-124.12729,43.88013,11.1,1735,229,7,3.081375
"5046",-124.17839,43.74818,11.2,1749,227,16,2.27547368421053
"5047",-124.13229,44.00318,10.8,1722,191,0,2.38863888888889
"5048",-124.15899,43.78152,11.2,1927,211,112,2.41142307692308
"5049",-124.18649,43.58513,11.3,1718,253,15,3.84738888888889
"5050",-124.25839,43.44707,11.2,1624,241,11,2.13368181818182
"5051",-114.54063,44.95908,1.8,675,224,2578,2.0082
"5052",-124.24449,43.44068,11.2,1633,242,14,2.52073684210526
"5053",-124.13949,43.96374,10.9,1703,202,6,2.5766
"5054",-124.14629,43.87957,11.1,1728,218,0,3.18503846153846
"5055",-124.27679,43.45068,11.3,1611,243,3,2.17726666666667
"5056",-124.20839,43.57096,11.2,1674,243,0,1.87265384615384
"5057",-122.06051,42.42507,7.3,623,625,1288,3.58714285714286
"5058",-114.42713,45.078,1.1,649,250,2316,3.03476923076923
"5059",-122.05641,42.41091,7.4,565,651,1262,3.35692105263158
"5060",-121.0053,43.81496,6.4,287,704,1402,3.28480769230769
"5061",-123.93047,47.864,9,3645,106,185,2.61976666666667
"5062",-123.93157,47.86393,9.1,3538,96,198,4.42109999999999
"5063",-123.94687,47.86364,9,3678,100,190,1.96767647058824
"5064",-123.93107,47.86055,9,3632,103,175,2.00813636363636
"5065",-123.92947,47.85733,9,3511,92,183,2.83475
"5066",-123.94067,47.86305,9,3659,102,174,2.16393478260869
"5067",-123.93787,47.86319,9,3654,102,174,1.84088333333333
"5068",-123.92507,47.86296,9,3633,105,189,2.41886363636363
"5069",-123.92537,47.86233,9.1,3520,96,189,3.40386363636363
"5070",-117.82601,48.83286,7.1,682,400,684,3.58714285714286
"5071",-117.83541,48.85051,7.7,605,442,555,3.40966666666667
"5072",-122.36811,47.17785,10.2,1077,304,152,2.68234210526316
"5073",-119.41276,48.92372,9,384,572,396,3.95153846153846
"5074",-122.28287,45.49486,11.2,1488,335,46,2.20354166666667
"5075",-122.2915,46.83818,9.4,1182,308,482,2.75104545454546
"5076",-122.282,46.82624,9.2,1288,284,533,2.40806818181818
"5077",-122.2869,46.83388,9.1,1343,270,610,3.57407692307692
"5078",-122.287,46.83624,9.2,1327,274,597,2.72078947368421
"5079",-122.2925,46.84393,9.5,1218,300,525,3.851
"5080",-122.2936,46.83643,9.3,1263,288,564,2.59758333333333
"5081",-121.98997,45.56755,6.8,3410,100,991,2.52766666666667
"5082",-122.16527,45.5338,9.6,2308,180,451,3.05173529411764
"5083",-120.51887,47.54102,9.7,371,724,323,3.36142857142857
"5084",-122.88282,46.99631,10.3,1260,362,63,2.9534
"5085",-116.473,45.62921,11.8,372,731,349,2.74777777777778
"5086",-116.49021,45.62881,10.7,414,627,536,3.86088888888889
"5087",-116.49021,45.62687,11.4,408,638,536,3.92
"5088",-116.4767,45.62703,11.3,384,701,390,4.24135714285714
"5089",-116.50401,45.62953,10.1,448,554,714,2.9843
"5090",-116.50401,45.62748,10.7,442,567,714,4.1651875
"5091",-121.70943,44.14987,3.9,1124,383,1768,1.674
"5092",-113.6314,44.74209,2.9,553,268,2316,2.42375
"5093",-121.62716,45.68533,9.2,1034,458,488,2.70438235294118
"5094",-122.78953,42.34823,10.1,810,557,838,2.55909615384615
"5095",-122.89453,47.07317,10.4,1272,359,30,2.96816666666667
"5096",-122.71439,45.50885,11.3,1094,422,91,2.25
"5097",-122.48962,47.27576,10.7,1035,346,91,3.03415384615385
"5098",-123.38365,42.54199,12.1,813,761,297,2.16405882352941
"5099",-123.38295,42.54061,11.9,816,745,350,2.1814054054054
"5100",-123.36964,42.50019,12.1,810,759,316,2.19381944444444
"5101",-121.44095,45.67161,10.1,800,576,46,2.84220454545454
"5102",-122.37785,44.39656,10.4,1739,358,366,2.18052380952381
"5103",-123.3649,42.01769,9,1598,443,1343,2.80425
"5104",-117.5551,48.967,5,1028,94,1350,3.09711111111111
"5105",-120.5325,48.39199,3.6,873,288,1425,2.576
"5106",-123.49089,44.73957,10.8,1505,476,91,1.77122413793103
"5107",-122.14012,47.58958,10.6,1225,270,114,0
"5108",-123.74028,43.91218,10.6,2628,235,869,1.70225609756097
"5109",-123.07372,46.61894,10.3,1276,366,122,2.67575
"5110",-122.67078,45.52158,11.8,1070,426,30,4.54
"5111",-116.7316,45.39275,5.9,846,271,1876,2.89076923076923
"5112",-123.68122,45.95984,8.5,4865,118,853,1.75142647058823
"5113",-122.25412,47.7327,10.5,990,306,101,2.64958333333333
"5114",-122.98958,44.91467,11.3,1028,504,61,2.10608333333333
"5115",-123.03408,44.92983,11.2,1036,501,61,2.05419444444444
"5116",-117.1871,48.89583,1.6,1653,50,2012,3.58714285714286
"5117",-116.18219,48.37662,2.5,2150,21,1920,2.511
"5118",-116.22749,48.36803,3.3,1975,32,1713,2.0925
"5119",-116.49999,48.25095,5.5,1031,223,1097,3.04363636363636
"5120",-122.37088,45.55249,11.8,1111,403,15,2.78106666666667
"5121",-123.0108,46.82872,10.7,1276,367,56,2.60722222222222
"5122",-122.93762,46.75084,10.3,1213,359,152,3.3329
"5123",-122.81901,46.30266,10.1,1388,316,213,2.36822727272727
"5124",-122.48395,48.73419,9.6,1292,191,183,2.21405555555556
"5125",-122.25182,47.5531,11.2,925,365,15,2.25183333333333
"5126",-122.25062,47.55464,11.2,926,365,18,2.75105
"5127",-116.5476,45.46531,11.4,384,662,433,2.938
"5128",-123.6401,41.90348,8.4,2755,308,1780,3.07666666666667
"5129",-123.6464,41.90561,8.7,2704,321,1657,1.98302777777778
"5130",-122.04128,45.94423,5.7,2976,124,1189,2.5469347826087
"5131",-121.07129,43.01739,6.3,458,628,1568,3.348
"5132",-121.08629,43.03839,6.6,380,698,1426,3.8375
"5133",-121.15059,42.99489,6,464,645,1530,1.61
"5134",-121.00129,43.03572,6.1,400,649,1530,0
"5135",-121.01879,43.03556,6.3,444,618,1564,1.395
"5136",-121.06539,42.94439,6,462,654,1515,0
"5137",-120.4602,48.4244,2.6,1044,196,2002,0
"5138",-122.84903,42.32075,11.6,503,788,434,3.50615384615385
"5139",-121.46566,46.08169,5.4,1540,300,1219,2.07674285714286
"5140",-121.46366,46.07463,5.5,1523,302,1219,2.11078333333333
"5141",-122.49402,47.2388,10.5,1045,341,79,3.76875
"5142",-122.69952,42.18817,10.7,512,723,604,3.58714285714286
"5143",-111.60251,42.667,4.9,460,535,1838,6.2775
"5144",-111.52821,42.69634,4.5,558,468,1981,6.31699999999996
"5145",-122.44741,47.12128,10.3,1035,339,86,3.39272727272727
"5146",-117.32187,47.69768,8.7,475,540,728,4.50692307692308
"5147",-117.50918,47.72923,9.1,443,590,518,4.464
"5148",-117.48038,47.77906,9.1,462,594,518,4.56545454545454
"5149",-117.12177,47.74567,7.8,611,468,770,3.56647058823529
"5150",-117.11337,47.91342,5,1094,195,1554,3.12599999999999
"5151",-117.11607,47.9224,4.4,1166,158,1789,3.77133333333333
"5152",-117.47177,47.68449,9.2,446,581,544,3.912
"5153",-115.28545,44.52726,3.3,907,418,1737,2.70454761904762
"5154",-117.49418,47.69543,9.1,442,585,533,4.185
"5155",-117.06206,47.63821,8.4,547,513,668,3.575
"5156",-117.27967,47.646,8.9,464,556,610,4.50692307692308
"5157",-117.53808,47.78109,9,455,597,488,4.185
"5158",-121.54526,45.72723,10.6,716,595,30,4.11138461538462
"5159",-116.75503,46.79199,7.5,785,447,869,2.88123809523809
"5160",-122.05551,47.48245,10.3,1217,289,114,2.79283333333333
"5161",-118.51686,45.22199,6.2,559,447,1326,2.59410416666667
"5162",-118.51566,45.22036,6.2,566,442,1341,2.88054545454545
"5163",-118.51326,45.22049,6.3,545,455,1298,0
"5164",-118.50616,45.22232,6.5,531,453,1262,0
"5165",-118.50876,45.22987,6.6,514,467,1225,2.20263157894737
"5166",-118.47556,45.22012,6.8,474,494,1166,2.56911363636364
"5167",-121.72987,46.13836,4.9,2446,136,1372,2.03175675675676
"5168",-122.55482,47.16815,10.6,1037,358,30,2.84776666666667
"5169",-116.37722,46.49994,10.2,636,556,286,3.28268421052631
"5170",-122.39951,47.20652,10.5,1037,336,88,2.44938888888889
"5171",-116.5349,45.54233,12,393,694,422,3.715
"5172",-116.6203,45.50227,7.7,585,400,1383,3.18973809523809
"5173",-122.79592,46.83974,10,1265,339,122,2.03296
"5174",-121.33832,48.64916,6.9,2042,143,785,3.610875
"5175",-121.33642,48.64986,6.9,2035,144,785,3.25940909090909
"5176",-121.33692,48.65046,6.9,2038,143,792,2.32425
"5177",-122.25115,44.37256,7.9,2155,233,1158,4.23705
"5178",-121.48896,45.82014,10.1,711,605,101,3.52335294117647
"5179",-123.05648,44.635,11.1,1153,416,274,2.85942307692308
"5180",-121.38105,45.73892,8.9,812,523,553,2.39445161290323
"5181",-122.68158,45.44448,11.6,1114,425,49,2.83713157894737
"5182",-122.37615,44.37486,9.6,2023,290,884,2.57028947368421
"5183",-115.66639,46.13908,8.6,889,415,445,2.95539130434782
"5184",-119.05439,46.18991,12,193,846,107,3.0015625
"5185",-122.29092,47.65625,11,945,340,30,0
"5186",-122.30422,47.66135,10.9,952,330,59,1.3125
"5187",-122.30952,47.66111,10.9,952,331,58,0
"5188",-123.36446,43.22264,11.7,874,611,137,2.61697368421053
"5189",-117.22022,45.2612,4.2,740,306,1475,2.27302777777778
"5190",-118.90919,46.08049,12,220,828,100,2.46304545454545
"5191",-122.45442,47.19483,10.5,1027,348,81,3.09853846153846
