"","lon","lat","ubc_mat","ubc_map","ubc_cmd","elevuse_m","ci_rng"
"149",-86.01724,33.11419,16,1447,277,274,2.52881818181818
"150",-86.43152,33.49379,16.3,1383,315,152,7.3725
"151",-86.92234,33.61291,16.2,1427,285,152,4.95655
"152",-86.33274,33.72573,15.6,1432,239,274,3.43357142857143
"153",-86.8208,33.89966,15.9,1459,259,152,1.7965
"154",-86.2478,33.96632,15.3,1432,237,274,4.38278571428571
"155",-87.52427,33.29675,16.7,1402,337,30,4.66155
"156",-87.28452,33.31632,16.3,1423,285,213,3.01485714285714
"157",-87.90516,33.86315,15.7,1477,289,152,2.57777777777778
"158",-87.32653,33.97526,15.5,1459,268,152,2.6763
"159",-88.13661,33.15582,16.9,1392,343,91,4.65483333333333
"160",-88.06628,33.38464,16.6,1451,322,91,3.87025
"161",-105.41868,33.21566,10.3,509,748,2103,4.353
"162",-105.69842,33.11887,8.3,702,415,2469,2.54091666666667
"163",-105.70274,33.25419,9,653,513,2286,2.88661111111111
"164",-105.69737,33.75872,10.6,437,803,2042,5.21
"165",-106.30055,33.79691,12.3,404,902,1941,7.635
"166",-107.42399,33.59733,8.2,526,525,2865,2.12
"167",-107.69758,33.72309,9.4,370,871,2193,3.66616666666667
"168",-107.43196,33.86666,9.3,457,637,2560,4.40678571428571
"169",-108.03266,33.02762,11,546,700,2132,2.29585714285714
"170",-108.64703,33.05536,13.5,397,1101,1523,6.108
"171",-108.47624,33.41804,8.7,463,724,2377,2.51042307692308
"172",-108.03352,33.54225,8.6,425,794,2256,4.716
"173",-108.57789,33.60011,9.2,505,769,2164,2.2230625
"174",-108.9999,33.6934,7.9,545,552,2499,3.37285714285714
"175",-108.4649,33.91423,8.6,367,894,2134,3.9522
"176",-108.94067,33.92378,7.3,512,641,2438,4.95166666666667
"177",-109.17982,33.07189,14.6,404,1072,1463,5.91
"178",-109.7679,33.34278,11.2,516,770,1854,3.97458333333333
"179",-109.36553,33.4986,9.7,568,649,2142,3.82508333333333
"180",-109.06177,33.56193,9.1,580,576,2319,4.21961111111111
"181",-109.22096,33.56057,10.5,564,724,1975,0.468416666666666
"182",-109.59837,33.56794,9.4,587,658,2092,3.03655555555555
"183",-109.76177,33.56703,10.5,506,775,1931,3.21433333333333
"184",-109.48929,33.69802,7.6,648,585,2291,2.015
"185",-109.75324,33.83977,8.1,683,584,2158,2.71331818181818
"186",-109.83919,34.00322,8.2,736,509,2249,3.694
"187",-109.97004,33.97498,10.2,577,669,2024,2.69622222222222
"188",-110.03065,33.48406,11,551,721,1955,5.071
"189",-110.78187,33.48462,16.2,499,947,1207,5.5125
"190",-110.13865,33.61859,11.5,516,820,1760,5.855
"191",-110.24471,33.62295,10.5,606,761,1768,3.498
"192",-110.66991,33.93442,13.4,513,879,1461,5.0505
"193",-110.24844,33.8492,13.2,484,936,1498,5.58666666666667
"194",-110.51542,33.8445,13.1,495,911,1554,6.099
"195",-110.30109,33.98091,12.6,491,931,1543,3.51207142857143
"196",-111.16709,33.89249,15.4,532,949,1319,6.108
"197",-111.0026,33.97883,12.3,647,728,1720,4.4165
"198",-116.66527,33.72097,12.7,595,852,1646,4.61284615384615
"199",-76.75329,34.81069,16.7,1358,95,6,2.9044375
"200",-77.94885,34.71372,16.5,1360,141,43,3.38578571428571
"201",-78.06771,34.49129,16.6,1339,159,30,4.4796875
"202",-78.82104,34.28675,16.7,1227,244,30,5.514
"203",-79.11076,34.17273,16.9,1231,253,30,3.83572222222222
"204",-79.42295,34.5471,16.7,1194,279,30,4.4
"205",-79.92486,34.70989,16.5,1215,268,30,5.1839375
"206",-79.78736,34.93268,16.3,1233,271,91,4.302
"207",-80.72072,34.1683,16.7,1184,319,91,1.35
"208",-80.00106,34.48413,16.6,1203,289,30,4.33285714285714
"209",-80.30672,34.45379,16.8,1188,319,4,6.87428571428571
"210",-81.01291,34.78489,15.9,1207,314,152,3.92681818181818
"211",-81.78748,34.23962,16.4,1216,343,152,6.7519
"212",-81.47511,34.27578,16.6,1228,338,122,4.5494
"213",-81.5595,34.72443,15.9,1223,346,152,5.5231
"214",-82.99806,34.03693,16.2,1277,323,152,3.3880625
"215",-82.79051,34.29261,16.1,1288,302,213,5.75905555555555
"216",-82.20255,34.63185,15.8,1266,295,213,3.27075
"217",-82.68055,34.75808,15.7,1395,221,274,5.7529
"218",-82.88795,34.95093,15.2,1612,88,366,3.01563333333333
"219",-83.94088,34.36183,14.8,1469,183,396,3.03
"220",-83.06498,34.48097,16,1350,270,213,6.93666666666667
"221",-83.67739,34.42532,15.3,1423,258,61,6.21404545454545
"222",-83.89738,34.59953,14.1,1650,105,457,6.146
"223",-83.50181,34.88215,12.9,1832,47,671,4.45732142857143
"224",-83.75539,34.82093,12,1802,13,884,5.18694444444444
"225",-84.06579,34.15328,15,1419,219,335,4.690875
"226",-84.24196,34.25712,14.9,1433,214,335,3.79
"227",-84.41235,34.46833,15.3,1333,308,152,4.969125
"228",-84.67966,34.65797,14.7,1536,173,427,4.9415
"229",-84.02786,34.73789,12.2,1912,23,823,2.62145833333333
"230",-85.32396,34.09314,15.6,1368,295,244,5.79414285714286
"231",-85.68111,34.07707,15.8,1432,279,213,2.80615
"232",-85.07105,34.11397,15.5,1312,322,213,4.59
"233",-85.14899,34.55389,15.1,1396,275,244,4.81681818181818
"234",-85.51738,34.59608,14.1,1602,94,457,3.60705
"235",-85.92275,34.89628,14.8,1479,215,274,4.16505555555556
"236",-86.65899,34.32542,15.2,1457,209,335,5.32968181818182
"237",-87.53375,34.1535,15.4,1480,234,213,3.057875
"238",-87.73316,34.33284,15.2,1490,216,274,4.18977272727273
"239",-87.57913,34.79525,15.7,1383,286,152,5.0901
"240",-88.07137,34.92776,15.1,1444,249,274,4.21925
"241",-106.19594,34.02352,11.4,397,892,1981,3.1185
"242",-106.31155,34.78519,9.3,531,654,2164,5.625
"243",-107.93239,34.12862,9,392,768,2438,4.53949999999999
"244",-107.88796,34.3944,8.7,347,857,2225,5.16
"245",-107.89056,34.62391,8.2,368,774,2431,2.71640909090909
"246",-108.66948,34.05245,8,456,671,2530,1.90425
"247",-108.74348,34.21615,8.4,319,882,2254,5.94
"248",-108.66016,34.27387,8.5,323,874,2256,4.752
"249",-108.3731,34.90055,8.3,380,803,2256,4.44078571428571
"250",-108.70218,34.90498,8.6,372,812,2225,3.4371
"251",-109.76053,34.19348,7.6,801,476,2371,3.38721428571429
"252",-109.52791,34.60462,11.9,270,1105,1689,5.94
"253",-109.70825,33.57046,10.2,521,751,1964,6.048
"254",-110.89544,34.25046,10.6,865,532,2017,4.41314285714286
"255",-110.23391,34.34042,10,430,821,1946,3.55964285714285
"256",-110.50682,34.38806,9.4,468,747,2024,4.78714285714286
"257",-110.99995,34.47861,8.3,672,553,2238,5.06758333333333
"258",-110.17916,34.60774,11.1,316,992,1789,7.6125
"259",-110.45304,34.70004,10.8,340,927,1831,4.514
"260",-111.00658,34.25782,11.7,749,658,1729,4.968
"261",-111.26712,34.38322,11.8,735,719,1626,1.125
"262",-111.54043,34.2498,15.4,498,1002,1239,7.642125
"263",-111.87017,34.29205,13.6,532,845,1528,2.94
"264",-111.49393,34.47886,10.2,710,613,2016,5.46964285714286
"265",-111.21905,34.61522,8.5,531,658,2069,5.115
"266",-111.54721,34.65919,10.1,581,703,1913,5.97
"267",-111.38445,34.74831,7.4,667,568,2264,3.573125
"268",-111.49589,34.74948,8.4,643,635,2094,3.26064285714286
"269",-111.82045,34.79514,14.7,449,954,1379,4.98
"270",-111.21762,34.84281,8.8,518,655,2100,6.18666666666667
"271",-111.75749,34.88817,13.9,426,995,1353,5.49428571428571
"272",-112.29992,34.1603,13.2,640,688,1786,5.5125
"273",-112.52277,34.51573,11,580,660,1881,6.222
"274",-112.53907,35.01303,12.1,447,865,1739,8.04
"275",-113.07811,34.63667,15.3,451,965,1369,5.5125
"276",-116.9403,34.07222,8.5,768,570,2408,7.4933125
"277",-116.95172,34.32382,8.4,559,721,2303,7.935
"278",-119.82196,34.53932,16.3,585,1042,305,2.812
"279",-119.05129,34.7104,9.8,595,917,1740,6.348
"280",-119.12062,34.83217,8,475,695,2286,7.935
"281",-119.3232,34.82769,13,308,1160,1250,6.47777777777778
"282",-119.64341,34.80356,12.8,353,1059,1250,4.642
"283",-122.90571,43.04614,10.9,1245,501,739,2.24769047619048
"284",-120.32355,34.5271,15,458,791,244,2.18135294117647
"285",-76.85328,35.23331,16.6,1299,113,30,3.62888888888889
"286",-76.58038,35.67695,16.1,1289,134,30,5.164
"287",-76.88592,35.67378,15.7,1260,152,30,3.73738888888889
"288",-77.12419,35.22021,16.8,1303,135,6,2.16958333333333
"289",-77.31594,35.39945,16.2,1267,176,30,4.16968181818182
"290",-77.80061,35.60055,16.1,1219,245,30,3.72164285714286
"291",-78.96888,35.4271,15.5,1182,264,91,5.9575
"292",-78.39177,35.51817,15.7,1196,249,91,7.54
"293",-78.48747,35.91632,15.2,1166,263,122,3.99825
"294",-78.76427,35.93049,15,1139,262,152,6.4125
"295",-79.176,35.04355,15.9,1201,272,152,3.52914285714286
"296",-79.27136,35.42189,15.5,1204,250,122,5.01235
"297",-79.6022,35.41079,15.6,1204,270,152,5.148
"298",-79.40191,35.84377,14.9,1162,274,152,4.67
"299",-79.98225,35.78295,14.9,1161,299,213,4.545
"300",-80.08039,35.54513,15.2,1195,287,213,5.615
"301",-80.8973,35.67339,14.7,1190,277,244,3.91236363636364
"302",-81.4342,35.19062,15.1,1267,267,213,7.762
"303",-81.44322,35.60513,14.4,1279,197,335,4.265875
"304",-81.76123,35.54142,13.9,1382,153,457,5.431125
"305",-82.2864,35.03971,14.8,1662,27,549,5.292
"306",-82.57486,35.00619,15.3,1497,122,335,4.60580769230769
"307",-82.39741,35.46122,11.6,1444,42,1006,8.7825
"308",-82.9669,35.38378,9.5,1731,2,1676,3.25661538461538
"309",-82.8657,35.60332,10.6,1080,248,945,3.40086363636364
"310",-82.73479,35.82383,12.5,1046,268,762,5.53327272727273
"311",-82.20241,35.92616,11.4,1273,167,762,3.53669565217391
"312",-82.47209,35.86513,11.8,1046,312,732,5.249
"313",-83.86811,35.23693,11.5,1858,29,975,3.77908333333333
"314",-83.55783,35.26119,11.2,1793,28,1128,3.3521
"315",-83.06773,35.80726,11.5,1295,80,914,5.26334375
"316",-84.15417,35.19817,13,1676,88,640,3.94875
"317",-84.46042,35.13018,13.7,1573,136,457,4.6906
"318",-84.8484,35.5166,14.3,1426,215,213,6.04721428571428
"319",-84.657,35.98363,13,1471,127,396,3.706125
"320",-85.42709,35.43506,13.3,1559,84,549,4.216125
"321",-105.54658,35.24435,9.6,400,777,2103,5.788
"322",-105.44482,35.60007,8.6,453,658,2195,3.5410625
"323",-105.65512,35.73225,5.7,616,369,2591,2.34777777777778
"324",-106.13327,35.26553,10.2,442,714,2083,5.576
"325",-106.81914,35.68276,8.7,491,580,2396,6.245
"326",-107.80056,35.34385,9.5,263,915,2112,6.245
"327",-107.76274,35.97598,9.7,235,959,2010,3.96
"328",-108.91562,35.31196,9.4,335,847,2134,5.76871428571428
"329",-108.74398,35.40801,9,346,808,2195,6.315
"330",-108.8513,35.40666,9.4,322,860,2103,6.1152
"331",-108.07087,35.61673,9.3,283,855,2164,5.41285714285714
"332",-108.56942,35.53397,9.6,304,883,2073,5.28428571428571
"333",-108.62994,35.66916,8.9,329,818,2182,5.825
"334",-108.84803,35.67779,9.5,281,875,2103,4.14
"335",-108.84761,35.76465,10,246,932,2001,5.655
"336",-109.12776,35.27896,10.4,309,965,1857,5.4972
"337",-109.62107,35.32869,10.9,275,1014,1827,5.94
"338",-109.40893,35.41412,9.9,314,877,2077,6.252
"339",-109.22814,35.68647,7.8,350,756,2323,4.638
